user_id,variant,subject_line,send_time,device,region,opened,clicked,converted,spam_flag,unsubscribed
1,D,Sale 🔥,2025-07-01 07:00:00,mobile,Tier-2,0,0,0,0,0
2,D,Limited Time,2025-07-01 15:00:00,desktop,Tier-1,0,0,0,0,0
3,B,Just For You,2025-07-01 14:00:00,desktop,Tier-3,0,0,0,0,0
4,A,Sale 🔥,2025-07-01 18:00:00,mobile,Tier-1,0,0,0,0,0
5,B,Sale 🔥,2025-07-01 07:00:00,mobile,Tier-1,0,0,0,0,0
6,C,New Arrivals,2025-07-01 18:00:00,mobile,Tier-2,0,0,0,0,0
7,D,Sale 🔥,2025-07-01 06:00:00,desktop,Tier-1,0,0,0,0,0
8,B,Just For You,2025-07-01 00:00:00,desktop,Tier-2,0,0,0,0,0
9,B,Limited Time,2025-07-01 09:00:00,mobile,Tier-2,0,0,0,0,0
10,C,Sale 🔥,2025-07-01 10:00:00,mobile,Tier-2,0,0,0,0,0
11,D,Sale 🔥,2025-07-01 10:00:00,desktop,Tier-3,0,0,0,0,0
12,A,New Arrivals,2025-07-01 15:00:00,mobile,Tier-3,0,0,0,0,0
13,C,Sale 🔥,2025-07-01 14:00:00,desktop,Tier-1,1,1,1,0,0
14,C,Just For You,2025-07-01 17:00:00,mobile,Tier-1,1,1,1,0,0
15,C,Just For You,2025-07-01 14:00:00,desktop,Tier-1,0,0,0,0,0
16,B,New Arrivals,2025-07-01 18:00:00,desktop,Tier-2,0,0,0,0,0
17,D,Sale 🔥,2025-07-01 00:00:00,mobile,Tier-1,0,0,0,0,0
18,D,New Arrivals,2025-07-01 18:00:00,mobile,Tier-1,0,0,0,0,0
19,A,Sale 🔥,2025-07-01 21:00:00,desktop,Tier-1,0,0,0,0,0
20,B,Limited Time,2025-07-01 19:00:00,mobile,Tier-3,0,0,0,0,0
21,A,New Arrivals,2025-07-01 22:00:00,mobile,Tier-1,0,0,0,0,0
22,D,New Arrivals,2025-07-01 19:00:00,tablet,Tier-2,0,0,0,0,0
23,A,New Arrivals,2025-07-01 00:00:00,desktop,Tier-3,1,1,1,0,0
24,D,Sale 🔥,2025-07-01 00:00:00,mobile,Tier-2,0,0,0,0,0
25,A,Limited Time,2025-07-01 19:00:00,mobile,Tier-2,1,0,0,0,0
26,A,Sale 🔥,2025-07-01 02:00:00,desktop,Tier-2,0,0,0,0,0
27,D,Limited Time,2025-07-01 18:00:00,desktop,Tier-1,0,0,0,0,0
28,B,New Arrivals,2025-07-01 03:00:00,mobile,Tier-3,0,0,0,0,0
29,C,Sale 🔥,2025-07-01 09:00:00,mobile,Tier-2,0,0,0,0,0
30,D,Just For You,2025-07-01 16:00:00,desktop,Tier-1,0,0,0,0,0
31,C,Limited Time,2025-07-01 13:00:00,mobile,Tier-1,0,0,0,0,0
32,B,Sale 🔥,2025-07-01 12:00:00,mobile,Tier-3,0,0,0,0,0
33,B,Sale 🔥,2025-07-01 19:00:00,mobile,Tier-2,0,0,0,0,0
34,C,Just For You,2025-07-01 06:00:00,mobile,Tier-2,0,0,0,0,0
35,B,Limited Time,2025-07-01 00:00:00,mobile,Tier-1,0,0,0,0,0
36,A,New Arrivals,2025-07-01 17:00:00,mobile,Tier-3,1,0,0,0,0
37,D,Just For You,2025-07-01 18:00:00,desktop,Tier-3,0,0,0,0,0
38,D,Just For You,2025-07-01 23:00:00,mobile,Tier-1,0,0,0,0,0
39,B,Limited Time,2025-07-01 02:00:00,desktop,Tier-1,0,0,0,0,0
40,B,Just For You,2025-07-01 09:00:00,mobile,Tier-2,0,0,0,0,0
41,D,New Arrivals,2025-07-01 03:00:00,mobile,Tier-1,0,0,0,0,0
42,D,Just For You,2025-07-01 10:00:00,desktop,Tier-1,0,0,0,0,0
43,D,New Arrivals,2025-07-01 16:00:00,mobile,Tier-3,0,0,0,0,0
44,B,Sale 🔥,2025-07-01 01:00:00,tablet,Tier-2,0,0,0,0,0
45,B,New Arrivals,2025-07-01 07:00:00,mobile,Tier-1,0,0,0,0,0
46,D,Just For You,2025-07-01 00:00:00,mobile,Tier-1,0,0,0,0,0
47,A,New Arrivals,2025-07-01 00:00:00,tablet,Tier-1,0,0,0,0,0
48,B,Limited Time,2025-07-01 10:00:00,mobile,Tier-2,1,1,1,0,0
49,D,Just For You,2025-07-01 23:00:00,desktop,Tier-1,0,0,0,0,0
50,B,Sale 🔥,2025-07-01 03:00:00,mobile,Tier-1,0,0,0,0,0
51,A,Sale 🔥,2025-07-01 04:00:00,mobile,Tier-1,0,0,0,0,0
52,C,New Arrivals,2025-07-01 21:00:00,mobile,Tier-3,0,0,0,0,0
53,C,Sale 🔥,2025-07-01 04:00:00,mobile,Tier-2,0,0,0,0,0
54,B,Limited Time,2025-07-01 12:00:00,mobile,Tier-1,0,0,0,0,0
55,B,Just For You,2025-07-01 08:00:00,desktop,Tier-2,0,0,0,0,0
56,C,New Arrivals,2025-07-01 11:00:00,desktop,Tier-1,0,0,0,0,0
57,C,Limited Time,2025-07-01 16:00:00,desktop,Tier-3,0,0,0,0,0
58,A,New Arrivals,2025-07-01 04:00:00,desktop,Tier-1,0,0,0,0,0
59,D,Sale 🔥,2025-07-01 05:00:00,mobile,Tier-2,1,1,0,0,0
60,B,Limited Time,2025-07-01 09:00:00,desktop,Tier-2,1,0,0,0,0
61,B,Sale 🔥,2025-07-01 06:00:00,mobile,Tier-2,0,0,0,0,0
62,C,Sale 🔥,2025-07-01 07:00:00,mobile,Tier-3,0,0,0,0,0
63,B,Sale 🔥,2025-07-01 16:00:00,tablet,Tier-1,0,0,0,0,0
64,D,New Arrivals,2025-07-01 18:00:00,desktop,Tier-1,0,0,0,0,0
65,A,Just For You,2025-07-01 14:00:00,mobile,Tier-2,0,0,0,0,0
66,C,Limited Time,2025-07-01 08:00:00,mobile,Tier-1,0,0,0,0,0
67,D,Just For You,2025-07-01 04:00:00,mobile,Tier-1,0,0,0,0,0
68,A,Limited Time,2025-07-01 20:00:00,mobile,Tier-1,0,0,0,0,0
69,D,New Arrivals,2025-07-01 03:00:00,mobile,Tier-1,0,0,0,0,0
70,D,Limited Time,2025-07-01 22:00:00,desktop,Tier-1,0,0,0,0,0
71,A,Sale 🔥,2025-07-01 05:00:00,mobile,Tier-1,0,0,0,0,0
72,D,Sale 🔥,2025-07-01 06:00:00,desktop,Tier-2,0,0,0,0,0
73,C,Sale 🔥,2025-07-01 09:00:00,mobile,Tier-2,0,0,0,0,0
74,C,Sale 🔥,2025-07-01 00:00:00,mobile,Tier-1,1,1,1,0,0
75,C,Sale 🔥,2025-07-01 20:00:00,desktop,Tier-2,0,0,0,0,0
76,C,Just For You,2025-07-01 13:00:00,mobile,Tier-2,0,0,0,0,0
77,C,Limited Time,2025-07-01 01:00:00,desktop,Tier-1,0,0,0,0,0
78,C,New Arrivals,2025-07-01 20:00:00,mobile,Tier-1,0,0,0,0,0
79,B,Limited Time,2025-07-01 16:00:00,mobile,Tier-3,0,0,0,0,0
80,A,New Arrivals,2025-07-01 11:00:00,mobile,Tier-1,1,0,0,0,0
81,D,New Arrivals,2025-07-01 09:00:00,mobile,Tier-1,0,0,0,0,0
82,C,New Arrivals,2025-07-01 09:00:00,desktop,Tier-1,0,0,0,0,0
83,A,Limited Time,2025-07-01 22:00:00,mobile,Tier-2,0,0,0,0,0
84,D,Sale 🔥,2025-07-01 04:00:00,mobile,Tier-2,0,0,0,0,0
85,B,Just For You,2025-07-01 20:00:00,tablet,Tier-1,0,0,0,0,0
86,B,Limited Time,2025-07-01 06:00:00,desktop,Tier-1,0,0,0,0,0
87,A,New Arrivals,2025-07-01 09:00:00,desktop,Tier-2,0,0,0,0,0
88,D,Just For You,2025-07-01 14:00:00,mobile,Tier-2,0,0,0,0,0
89,A,Just For You,2025-07-01 20:00:00,mobile,Tier-1,0,0,0,0,0
90,B,Limited Time,2025-07-01 11:00:00,mobile,Tier-2,0,0,0,0,0
